Ticker,shortname,Sàn NY,Level1,Level2,Level3,Level4,Số CP niêm yết,Số CP lưu hành,Số CP lưu hành BQ hiện tại,Free Fload,Giá đóng cửa,Vốn hóa,KLTB 30 ngày,KLTB 30 ngày/Số CPLH,KLTB 90 ngày,KLTB 90 ngày/Số CPLH,KLTB 180 ngày,KLTB 180 ngày/Số CPLH bình quân hiện tại,GTTB 30 ngày,GTTB 90 ngày,GTTB 180 ngày,Lãi gộp/Doanh thu,LN ròng/Doanh thu,LN ròng/Doanh thu1,ROE,ROA,khả năng thanh toán ngắn hạn,Tổng công nợ/Vốn CSH,tỷ lệ dòng tền trước thuế và thu nhập/thu nhập trước lãi và thuế,EV/EBITDA,EPS,BV,P/E,P/B,updatedate
IED,Công ty Cổ phần Xuất nhập khẩu Đồng Nai,UpCom,Dịch vụ Tiêu dùng,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm,0,4000000,4000000.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
IFC,Công ty Cổ phần Thực phẩm Công nghệ Sài Gòn,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,9000000,9000000,9000000.0,1350000,5600,,1070.95,0.000118994444444444,726.983333333333,8.077592592592591e-05,435.31666666666604,4.83685185185185e-05,7225595,5038531.66666666,3245749.16666666,,,,,,,,,,-9467.0,17830.4118893333,-0.591547920175783,0.314070142336424,2020-03-26 00:00:00
IFS,Công ty Cổ phần Thực phẩm Quốc tế,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát,87140984,87140984,87140984.0,3768702,14435,,456.75,5.241506109226401e-06,1332.95,1.52964763399963e-05,1597.9083333333301,1.83370471617962e-05,7394900,24301433.333333302,31789402.5,,,,,,,,,,-3468.0,1374.88027998038,-5.80490211667663,10.4990959650726,2020-03-26 00:00:00
IHK,Công ty Cổ phần In Hàng Không,UpCom,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",2141928,2141928,2141928.0,1392253,13000,,50.0,2.33434550554453e-05,38.3833333333333,1.79199923308969e-05,19.1916666666666,8.95999616544845e-06,667500,485666.666666666,242833.333333333,,,,,,,,,,1683.0,12670.6511054526,7.72581876529714,1.02599305211755,2020-03-26 00:00:00
IKH,Công ty Cổ phần In Khoa học Kỹ Thuật,UpCom,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",1571000,1571000,1571000.0,235650,7900,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,756.43,10953.369597708399,10.4438384968396,0.7212392432784099,2020-03-26 00:00:00
ILA,Công ty Cổ phần ILA,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,16999993,16999993,16999993.0,6799997,2600,,11924.2,0.0007014238182333361,21643.016666666597,0.00127311915167651,38900.5416666666,0.0022882680990907803,31846780,62498948.3333333,106086895.833333,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
ILC,Công ty Cổ phần Hợp tác lao động với nước ngoài,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm,6100391,6079071,6100391.0,4255350,2200,,155.0,2.5497316942013e-05,171.75,2.8252672159940198e-05,202.958333333333,3.3269725388640305e-05,382500,431666.666666666,502875.0,,,,,,,,,,-395.0,8720.09015536872,-5.58899475133788,0.252290969565895,2020-03-26 00:00:00
ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,36000000,36000000,36000000.0,10800000,12452,,91315.0,0.00253652777777777,33485.0,0.0009301388888888881,20649.1666666666,0.000573587962962963,1014033500,382495166.66666603,252282666.666666,,,,,,,,,,0.0,9739.94376509954,-20.8006041542283,1.2784468062966001,2020-03-26 00:00:00
IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,3599948,3599948,3599948.0,899987,10200,,0.0,0.0,0.0,0.0,1443.65,0.00040101968139539705,0,0.0,14441760.0,,,,,,,,,,2870.0,13415.8664983494,3.55418421704732,0.760293791031308,2020-03-26 00:00:00
IN4,Công ty Cổ phần In số 4,UpCom,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",1200000,1200000,1200000.0,420000,68100,,1975.0,0.00164583333333333,1499.35,0.00124945833333333,3771.825,0.0031431874999999897,134497500,121757316.66666599,357407668.333333,,,,,,,,,,4008.0,18479.9687966666,16.9909408378617,3.68507115727833,2020-03-26 00:00:00
